;Code;Parcel;Introduced_bee;Tree;Collection_date;Species;Nb_sample;Ranuculacea; Rosacea;Quercus;Crucifera;Salix;Other;Visited plant
152;P7bA8;7;O. bicornis;apple;43586;O. cornuta;8;2.298850575;97.70114943;0;0;0;0; Rosacea
153;P7bA9;7;O. bicornis;apple;43586;O. cornuta;9;0;97.26027397;2.739726027;0;0;0; Rosacea
154;P7cA2;7;O. cornuta;apple;43575;O. cornuta;2;0;4.848484848;0;0;94.54545455;0.606060606;Salix
155;P7cA3;7;O. cornuta;apple;43575;O. cornuta;3;0;100;0;0;0;0; Rosacea
156;P7cA4;7;O. cornuta;apple;43577;O. cornuta;4;0;100;0;0;0;0; Rosacea
157;P7cA5;7;O. cornuta;apple;43577;O. cornuta;5;0;100;0;0;0;0; Rosacea
158;P7cA6;7;O. cornuta;apple;43577;O. cornuta;6;0;100;0;0;0;0; Rosacea
159;P7cA7;7;O. cornuta;apple;43579;O. cornuta;7;0;99.5049505;0;0;0;0.495049505; Rosacea
160;P7cA8;7;O. cornuta;apple;43579;O. cornuta;8;0;94.01709402;0;0;5.982905983;0; Rosacea
161;P7cA9;7;O. cornuta;apple;43579;O. cornuta;9;0;100;0;0;0;0; Rosacea
162;P9bC1;9;O. bicornis;cherry;43579;O. bicornis;1;96.8;0.8;2.4;0;0;0;Ranuculacea
163;P9bC2;9;O. bicornis;cherry;43579;O. bicornis;2;4.716981132;2.830188679;0.943396226;0;90.56603774;0.943396226;Salix
164;P9bC3;9;O. bicornis;cherry;43579;O. cornuta;3;80.64516129;0;0;0;19.35483871;0;Ranuculacea
166;P9bC5;9;O. bicornis;cherry;43579;O. cornuta;5;0;5.833333333;0;0;93.33333333;0.833333333;Salix
167;P9bC6;9;O. bicornis;cherry;43579;O. cornuta;6;0;98.0952381;0;0;0.952380952;0.952380952; Rosacea
168;P9cC1;9;O. cornuta;cherry;43575;O. cornuta;1;0;92.30769231;0;0;0;7.692307692; Rosacea
169;P9cC2;9;O. cornuta;cherry;43575;O. cornuta;2;0;1.818181818;0;0;98.18181818;0;Salix
170;P9cC3;9;O. cornuta;cherry;43575;O. cornuta;3;0;100;0;0;0;0; Rosacea
171;P9cC4;9;O. cornuta;cherry;43575;O. cornuta;4;0;100;0;0;0;0; Rosacea
172;P9cC5;9;O. cornuta;cherry;43575;O. cornuta;5;0;79.66101695;0;14.40677966;5.93220339;0; Rosacea
174;P9cC7;9;O. cornuta;cherry;43577;O. cornuta;7;0;0;0;100;0;0;Crucifera
175;P9cC8;9;O. cornuta;cherry;43577;O. cornuta;8;0;0;0;100;0;0;Crucifera
176;P9cC9;9;O. cornuta;cherry;43577;O. cornuta;9;0;96.33027523;0;1.834862385;1.834862385;0; Rosacea
