Bee_nb;Species;Orchard;Boxe;Emergence;Status;experiment;Fitness
67;O.cornuta;1;2;2;1;field; Emerged
68;O.cornuta;1;2;2;1;field; Emerged
69;O.cornuta;1;2;2;1;field; Emerged
70;O.cornuta;1;2;2;1;field; Emerged
71;O.cornuta;1;2;2;1;field; Emerged
72;O.cornuta;1;2;2;1;field; Emerged
73;O.cornuta;1;2;2;1;field; Emerged
74;O.cornuta;1;2;2;1;field; Emerged
75;O.cornuta;1;2;2;1;field; Emerged
76;O.cornuta;1;2;2;1;field; Emerged
77;O.cornuta;1;2;2;1;field; Emerged
78;O.cornuta;1;2;2;1;field; Emerged
79;O.cornuta;1;2;2;1;field; Emerged
80;O.cornuta;1;2;2;1;field; Emerged
81;O.cornuta;1;2;2;1;field; Emerged
82;O.cornuta;1;2;2;1;field; Emerged
83;O.cornuta;1;2;2;1;field; Emerged
84;O.cornuta;1;2;2;1;field; Emerged
85;O.cornuta;1;2;2;1;field; Emerged
86;O.cornuta;1;2;2;1;field; Emerged
87;O.cornuta;1;2;2;1;field; Emerged
88;O.cornuta;1;2;4;1;field; Emerged
89;O.cornuta;1;2;4;1;field; Emerged
90;O.cornuta;1;2;4;1;field; Emerged
91;O.cornuta;1;2;4;1;field; Emerged
92;O.cornuta;1;2;4;1;field; Emerged
93;O.cornuta;1;2;4;1;field; Emerged
94;O.cornuta;1;2;4;1;field; Emerged
95;O.cornuta;1;2;4;1;field; Emerged
96;O.cornuta;1;2;4;1;field; Emerged
97;O.cornuta;1;2;4;1;field; Emerged
98;O.cornuta;1;2;4;1;field; Emerged
99;O.cornuta;1;2;4;1;field; Emerged
100;O.cornuta;1;2;4;1;field; Emerged
101;O.cornuta;1;2;4;1;field; Emerged
102;O.cornuta;1;2;4;1;field; Emerged
103;O.cornuta;1;2;4;1;field; Emerged
104;O.cornuta;1;2;4;1;field; Emerged
105;O.cornuta;1;2;4;1;field; Emerged
106;O.cornuta;1;2;4;1;field; Emerged
107;O.cornuta;1;2;4;1;field; Emerged
108;O.cornuta;1;2;4;1;field; Emerged
109;O.cornuta;1;2;4;1;field; Emerged
110;O.cornuta;1;2;4;1;field; Emerged
111;O.cornuta;1;2;4;1;field; Emerged
112;O.cornuta;1;2;4;1;field; Emerged
113;O.cornuta;1;2;4;1;field; Emerged
114;O.cornuta;1;2;4;1;field; Emerged
115;O.cornuta;1;2;4;1;field; Emerged
116;O.cornuta;1;2;4;1;field; Emerged
117;O.cornuta;1;2;4;1;field; Emerged
118;O.cornuta;1;2;4;1;field; Emerged
119;O.cornuta;1;2;4;1;field; Emerged
120;O.cornuta;1;2;4;1;field; Emerged
121;O.cornuta;1;2;4;1;field; Emerged
122;O.cornuta;1;2;4;1;field; Emerged
123;O.cornuta;1;2;4;1;field; Emerged
124;O.cornuta;1;2;4;1;field; Emerged
125;O.cornuta;1;2;4;1;field; Emerged
126;O.cornuta;1;2;4;1;field; Emerged
127;O.cornuta;1;2;4;1;field; Emerged
128;O.cornuta;1;2;4;1;field; Emerged
129;O.cornuta;1;2;4;1;field; Emerged
130;O.cornuta;1;2;4;1;field; Emerged
131;O.cornuta;1;2;4;1;field; Emerged
132;O.cornuta;1;2;4;1;field; Emerged
133;O.cornuta;1;2;4;1;field; Emerged
134;O.cornuta;1;2;4;1;field; Emerged
135;O.cornuta;1;2;4;1;field; Emerged
136;O.cornuta;1;2;4;1;field; Emerged
137;O.cornuta;1;2;4;1;field; Emerged
138;O.cornuta;1;2;4;1;field; Emerged
139;O.cornuta;1;2;4;1;field; Emerged
140;O.cornuta;1;2;4;1;field; Emerged
141;O.cornuta;1;2;4;1;field; Emerged
142;O.cornuta;1;2;4;1;field; Emerged
143;O.cornuta;1;2;4;1;field; Emerged
144;O.cornuta;1;2;4;1;field; Emerged
145;O.cornuta;1;2;4;1;field; Emerged
146;O.cornuta;1;2;4;1;field; Emerged
147;O.cornuta;1;2;4;1;field; Emerged
148;O.cornuta;1;2;4;1;field; Emerged
149;O.cornuta;1;2;4;1;field; Emerged
150;O.cornuta;1;2;4;1;field; Emerged
151;O.cornuta;1;2;4;1;field; Emerged
152;O.cornuta;1;2;4;1;field; Emerged
153;O.cornuta;1;2;4;1;field; Emerged
154;O.cornuta;1;2;4;1;field; Emerged
155;O.cornuta;1;2;4;1;field; Emerged
156;O.cornuta;1;2;4;1;field; Emerged
157;O.cornuta;1;2;4;1;field; Emerged
158;O.cornuta;1;2;4;1;field; Emerged
159;O.cornuta;1;2;4;1;field; Emerged
160;O.cornuta;1;2;4;1;field; Emerged
161;O.cornuta;1;2;6;1;field; Emerged
162;O.cornuta;1;2;6;1;field; Emerged
163;O.cornuta;1;2;6;1;field; Emerged
164;O.cornuta;1;2;6;1;field; Emerged
165;O.cornuta;1;2;6;1;field; Emerged
166;O.cornuta;1;2;6;1;field; Emerged
167;O.cornuta;1;2;6;1;field; Emerged
168;O.cornuta;1;2;6;1;field; Emerged
169;O.cornuta;1;2;6;1;field; Emerged
170;O.cornuta;1;2;6;1;field; Emerged
171;O.cornuta;1;2;6;1;field; Emerged
172;O.cornuta;1;2;6;1;field; Emerged
173;O.cornuta;1;2;6;1;field; Emerged
174;O.cornuta;1;2;6;1;field; Emerged
175;O.cornuta;1;2;6;1;field; Emerged
176;O.cornuta;1;2;6;1;field; Emerged
177;O.cornuta;1;2;6;1;field; Emerged
178;O.cornuta;1;2;6;1;field; Emerged
179;O.cornuta;1;2;6;1;field; Emerged
180;O.cornuta;1;2;6;1;field; Emerged
181;O.cornuta;1;2;6;1;field; Emerged
182;O.cornuta;1;2;6;1;field; Emerged
183;O.cornuta;1;2;6;1;field; Emerged
184;O.cornuta;1;2;6;1;field; Emerged
185;O.cornuta;1;2;6;1;field; Emerged
186;O.cornuta;1;2;6;1;field; Emerged
187;O.cornuta;1;2;6;1;field; Emerged
188;O.cornuta;1;2;6;1;field; Emerged
189;O.cornuta;1;2;6;1;field; Emerged
190;O.cornuta;1;2;6;1;field; Emerged
191;O.cornuta;1;2;6;1;field; Emerged
192;O.cornuta;1;2;6;1;field; Emerged
193;O.cornuta;1;2;6;1;field; Emerged
194;O.cornuta;1;2;6;1;field; Emerged
195;O.cornuta;1;2;6;1;field; Emerged
196;O.cornuta;1;2;8;1;field; Emerged
197;O.cornuta;1;2;8;1;field; Emerged
198;O.cornuta;1;2;8;1;field; Emerged
199;O.cornuta;1;2;8;1;field; Emerged
200;O.cornuta;1;2;8;1;field; Emerged
201;O.cornuta;1;2;8;1;field; Emerged
202;O.cornuta;1;2;8;1;field; Emerged
203;O.cornuta;1;2;8;1;field; Emerged
204;O.cornuta;1;2;8;1;field; Emerged
205;O.cornuta;1;2;8;1;field; Emerged
206;O.cornuta;1;2;8;1;field; Emerged
207;O.cornuta;1;2;8;1;field; Emerged
208;O.cornuta;1;2;8;1;field; Emerged
209;O.cornuta;1;2;8;1;field; Emerged
210;O.cornuta;1;2;8;1;field; Emerged
211;O.cornuta;1;2;8;1;field; Emerged
212;O.cornuta;1;2;8;1;field; Emerged
213;O.cornuta;1;2;10;1;field; Emerged
214;O.cornuta;1;2;10;1;field; Emerged
215;O.cornuta;1;2;10;1;field; Emerged
216;O.cornuta;1;2;13;1;field; Emerged
217;O.cornuta;1;2;15;1;field; Emerged
218;O.cornuta;1;2;0;0;field;dead M
219;O.cornuta;1;2;0;0;field;dead M
220;O.cornuta;1;2;0;0;field;dead M
221;O.cornuta;1;2;0;0;field;dead M
222;O.cornuta;1;2;0;0;field;dead M
223;O.cornuta;1;2;0;0;field;dead M
224;O.cornuta;1;2;0;0;field;dead M
225;O.cornuta;1;2;0;0;field;dead M
226;O.cornuta;1;2;0;0;field;dead M
227;O.cornuta;1;2;0;0;field;dead M
228;O.cornuta;1;2;0;0;field;dead M
229;O.cornuta;1;2;0;0;field;dead M
230;O.cornuta;1;2;0;0;field;dead M
231;O.cornuta;1;2;0;0;field;dead M
232;O.cornuta;1;2;0;0;field;dead M
233;O.cornuta;1;2;0;0;field;dead M
234;O.cornuta;1;2;0;0;field;dead M
235;O.cornuta;1;2;0;0;field;dead M
236;O.cornuta;1;2;0;0;field;dead M
237;O.cornuta;1;2;0;0;field;dead M
238;O.cornuta;1;2;0;0;field;dead M
239;O.cornuta;1;2;0;0;field;dead F
240;O.cornuta;1;2;0;0;field;dead F
241;O.cornuta;1;2;0;0;field;dead F
242;O.cornuta;1;2;0;0;field;dead F
243;O.cornuta;1;2;0;0;field;dead F
244;O.cornuta;1;2;0;0;field;dead F
245;O.cornuta;1;2;0;0;field;dead F
246;O.cornuta;1;2;0;0;field;parasitoid
247;O.cornuta;1;2;0;0;field;dead larva
248;O.cornuta;1;2;0;0;field;dead larva
249;O.cornuta;1;2;0;0;field;dead larva
250;O.cornuta;1;2;0;0;field;dead larva
1;O.bicornis;1;1;2;1;field; Emerged
2;O.bicornis;1;1;2;1;field; Emerged
3;O.bicornis;1;1;2;1;field; Emerged
4;O.bicornis;1;1;2;1;field; Emerged
5;O.bicornis;1;1;2;1;field; Emerged
6;O.bicornis;1;1;2;1;field; Emerged
