;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
75;P4cA10;4;cornuta;apple;02/05/2019;cornuta;10;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;P4cA11;4;cornuta;apple;02/05/2019;cornuta;11;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;P4cA12;4;cornuta;apple;02/05/2019;cornuta;12;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;P4cA13;4;cornuta;apple;02/05/2019;cornuta;13;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;P4cA14;4;cornuta;apple;07/05/2019;cornuta;14;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;P4cA15;4;cornuta;apple;07/05/2019;cornuta;15;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;P4cA16;4;cornuta;apple;07/05/2019;cornuta;16;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;P4cA2;4;cornuta;apple;21/04/2019;cornuta;2;0;84.34782609;2.608695652;0;0;0;0;0;0;0;0;0;0;0;12.17391304;0.869565217;0;0;0;0;0
83;P4cA3;4;cornuta;apple;21/04/2019;cornuta;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;P4cA4;4;cornuta;apple;23/04/2019;cornuta;4;0;5.434782609;0;0;0;0;0;94.56521739;0;0;0;0;0;0;0;0;0;0;0;0;0
85;P4cA5;4;cornuta;apple;23/04/2019;cornuta;5;0;96.42857143;0;3.571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;P4cA6;4;cornuta;apple;23/04/2019;cornuta;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;P4cA7;4;cornuta;apple;30/04/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;P4cA8;4;cornuta;apple;30/04/2019;cornuta;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;P4cA9;4;cornuta;apple;02/05/2019;cornuta;9;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;P4conC4;3;control;cherry;09/04/2019;cornuta;4;0;89.83050847;0;0;0;0;0;10.16949153;0;0;0;0;0;0;0;0;0;0;0;0;0
91;P4conC5;3;control;cherry;09/04/2019;cornuta;5;0;99.20634921;0;0;0;0;0;0.793650794;0;0;0;0;0;0;0;0;0;0;0;0;0
92;P4conC6;3;control;cherry;09/04/2019;cornuta;6;0;99.09090909;0;0;0;0;0;0.909090909;0;0;0;0;0;0;0;0;0;0;0;0;0
93;P4conC7;3;control;cherry;19/04/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;P4conC8;3;control;cherry;19/04/2019;cornuta;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
